date,vertical,transaction_count,avg_transaction_value,total_processing_volume,authorization_rate,decline_rate,fraud_rate,chargeback_rate,refund_rate,payment_success_rate,take_rate,payment_revenue,processing_cost,net_revenue,margin,cost_per_transaction,trial_to_paid_rate,involuntary_churn_rate,dunning_recovery_rate,mrr,net_revenue_retention,latency_ms,uptime,failed_payment_recovery_rate
2023-01-03,Camps,195,70.66,13779.22,0.9213,0.0787,0.0073,0.0081,0.0104,0.9361,0.0273,376.02,35.37,340.66,0.9059,0.18,0.2395,0.0374,0.6114,8206.75,0.9338,604.3,0.996163,0.3964
2023-01-03,Associations,214,264.89,56685.75,0.9316,0.0684,0.0048,0.0071,0.0355,0.945,0.0263,1488.47,95.08,1393.38,0.9361,0.44,0.3601,0.0553,0.4955,28627.64,1.0348,574.9,0.999234,0.3536
2023-01-03,Sports Leagues,383,130.64,50033.42,0.9117,0.0883,0.0055,0.0038,0.0476,0.9872,0.0308,1541.43,107.22,1434.22,0.9304,0.28,0.1857,0.0564,0.4927,34522.88,1.1113,700.0,0.996443,0.4233
2023-01-03,Nonprofits,240,141.66,33998.69,0.9219,0.0781,0.0049,0.0114,0.0378,0.9642,0.0194,658.23,83.05,575.18,0.8738,0.35,0.5463,0.017,0.5332,22548.34,1.0578,594.0,0.998442,0.4118
2023-01-03,Pet Care,249,291.86,72671.93,0.9667,0.0333,0.0071,0.0111,0.0305,0.9601,0.0292,2120.29,88.52,2031.77,0.9583,0.36,0.4397,0.0498,0.7005,36437.6,0.9701,183.9,0.997834,0.2662
2023-01-03,Education,232,92.29,21410.74,0.9787,0.0213,0.0069,0.0106,0.02,0.9323,0.0222,476.3,75.4,400.89,0.8417,0.33,0.3009,0.0514,0.4222,14764.33,0.9897,692.6,0.995952,0.4351
2023-01-04,Camps,390,87.2,34007.1,0.9193,0.0807,0.0078,0.0091,0.0116,0.9539,0.0241,818.53,148.55,669.98,0.8185,0.38,0.2728,0.0192,0.3364,17972.56,1.0452,159.6,0.999485,0.4491
2023-01-04,Associations,175,212.51,37189.97,0.96,0.04,0.0056,0.0048,0.0482,0.9743,0.0258,958.05,60.4,897.65,0.937,0.35,0.3353,0.0224,0.4602,23331.27,0.8835,198.9,0.995225,0.2683
2023-01-04,Sports Leagues,317,343.75,108968.98,0.9223,0.0777,0.0011,0.0096,0.0423,0.9508,0.0245,2670.33,112.67,2557.66,0.9578,0.36,0.1978,0.0575,0.699,52116.38,0.8837,754.7,0.997455,0.4927
2023-01-04,Nonprofits,83,232.83,19325.27,0.9761,0.0239,0.0076,0.0107,0.0355,0.9781,0.0275,531.07,27.79,503.28,0.9477,0.33,0.2275,0.0506,0.6693,11359.05,1.0769,563.0,0.996013,0.3733
2023-01-04,Pet Care,91,75.74,6892.09,0.9113,0.0887,0.0017,0.0088,0.0128,0.9491,0.0298,205.58,16.95,188.63,0.9175,0.19,0.4814,0.0241,0.3532,4197.43,1.0309,716.7,0.998602,0.6116
2023-01-04,Education,328,212.13,69579.11,0.9396,0.0604,0.005,0.0078,0.0393,0.9377,0.0215,1495.97,110.45,1385.51,0.9262,0.34,0.5008,0.0381,0.4074,42022.54,1.0576,282.0,0.996851,0.4904
2023-01-05,Camps,163,297.07,48422.33,0.9324,0.0676,0.0073,0.0059,0.0104,0.9843,0.0193,933.49,43.39,890.09,0.9535,0.27,0.5315,0.0575,0.558,28547.44,0.9876,319.4,0.99661,0.5526
2023-01-05,Associations,132,286.43,37808.97,0.9653,0.0347,0.0016,0.0069,0.0123,0.963,0.0242,914.27,55.4,858.88,0.9394,0.42,0.3098,0.0159,0.3643,23761.17,1.0284,188.8,0.995412,0.5654
2023-01-05,Sports Leagues,249,165.98,41328.71,0.9724,0.0276,0.002,0.0071,0.0193,0.9649,0.0301,1243.33,104.01,1139.32,0.9163,0.42,0.2676,0.0554,0.5663,20873.7,1.05,447.5,0.996852,0.5673
2023-01-05,Nonprofits,281,321.44,90324.1,0.9178,0.0822,0.0044,0.0021,0.0287,0.9334,0.0197,1776.08,59.5,1716.59,0.9665,0.21,0.4202,0.0473,0.5625,62201.85,0.97,314.3,0.999256,0.3506
2023-01-05,Pet Care,213,289.64,61694.03,0.9785,0.0215,0.0049,0.0052,0.0117,0.9855,0.0309,1904.35,52.89,1851.46,0.9722,0.25,0.4373,0.0138,0.3748,28690.36,0.9507,797.2,0.998415,0.4229
2023-01-05,Education,91,337.4,30703.79,0.9141,0.0859,0.0038,0.0031,0.0234,0.9402,0.0271,830.72,25.92,804.8,0.9688,0.28,0.2649,0.0233,0.4622,14675.95,0.9888,142.0,0.996371,0.435
2023-01-06,Camps,299,127.64,38164.98,0.9193,0.0807,0.0015,0.0114,0.0267,0.9649,0.0309,1178.09,60.5,1117.59,0.9486,0.2,0.5044,0.0376,0.3742,19974.66,1.0666,446.7,0.999828,0.4195
2023-01-06,Associations,361,161.17,58182.99,0.9779,0.0221,0.0069,0.0104,0.0287,0.9549,0.0218,1270.0,70.47,1199.53,0.9445,0.2,0.4999,0.0506,0.7499,40669.39,1.0133,642.9,0.999629,0.6323
2023-01-06,Sports Leagues,224,118.53,26550.92,0.9244,0.0756,0.0028,0.0047,0.0183,0.9827,0.0286,759.3,43.16,716.15,0.9432,0.19,0.2794,0.0111,0.5242,14413.52,1.0795,329.3,0.999,0.6856
2023-01-06,Nonprofits,301,286.5,86237.84,0.9513,0.0487,0.0044,0.0062,0.0414,0.9684,0.0293,2524.24,127.58,2396.66,0.9495,0.42,0.4084,0.059,0.5736,50965.98,1.0132,181.9,0.998559,0.4964
2023-01-06,Pet Care,109,234.74,25586.27,0.9704,0.0296,0.0076,0.0035,0.0471,0.9595,0.0216,553.06,33.13,519.93,0.9401,0.3,0.5426,0.0346,0.4479,15096.42,0.9376,171.6,0.995632,0.3076
2023-01-06,Education,174,167.09,29073.95,0.9588,0.0412,0.0023,0.009,0.0265,0.9825,0.0252,733.05,77.04,656.01,0.8949,0.44,0.4027,0.0212,0.6698,14639.45,0.9634,141.6,0.997689,0.4905
2023-01-07,Camps,91,107.93,9821.79,0.9355,0.0645,0.0045,0.0089,0.0116,0.978,0.0268,263.13,18.39,244.74,0.9301,0.2,0.5032,0.056,0.3275,4744.55,1.0735,628.8,0.995904,0.3442
2023-01-07,Associations,206,326.83,67327.54,0.9265,0.0735,0.0063,0.0073,0.0388,0.9337,0.0201,1351.15,44.48,1306.67,0.9671,0.22,0.4343,0.0522,0.6373,27546.5,1.0881,360.8,0.996946,0.2972
2023-01-07,Sports Leagues,198,160.07,31694.19,0.9114,0.0886,0.0033,0.0041,0.0231,0.9372,0.0305,965.64,67.37,898.27,0.9302,0.34,0.4313,0.0495,0.5243,13504.14,1.0089,519.1,0.998653,0.4442
2023-01-07,Nonprofits,162,160.53,26005.16,0.9336,0.0664,0.0073,0.0081,0.0198,0.9599,0.0226,588.36,70.0,518.36,0.881,0.43,0.1828,0.0213,0.4644,14207.73,1.0842,179.8,0.998949,0.275
2023-01-07,Pet Care,216,69.47,15005.8,0.9467,0.0533,0.0039,0.0118,0.0145,0.9539,0.0316,473.77,89.36,384.42,0.8114,0.41,0.4823,0.0229,0.3769,9012.38,1.1031,498.6,0.997801,0.376
2023-01-07,Education,379,107.55,40760.94,0.9778,0.0222,0.006,0.004,0.0394,0.9618,0.0279,1137.28,146.79,990.49,0.8709,0.39,0.2123,0.0353,0.7194,20225.28,1.0225,371.1,0.997226,0.4969
2023-01-08,Camps,217,346.94,75285.52,0.9326,0.0674,0.0067,0.0045,0.0373,0.9756,0.0263,1982.94,66.69,1916.25,0.9664,0.31,0.3324,0.0274,0.7183,48874.29,1.1116,204.5,0.998581,0.6723
2023-01-08,Associations,155,160.66,24903.03,0.9749,0.0251,0.0061,0.0025,0.0413,0.9797,0.0285,709.91,61.36,648.55,0.9136,0.4,0.4853,0.0193,0.4061,14695.97,1.0979,335.0,0.997883,0.5573
2023-01-08,Sports Leagues,374,262.7,98251.16,0.973,0.027,0.0054,0.0074,0.0275,0.9646,0.023,2257.33,106.85,2150.48,0.9527,0.29,0.3768,0.0133,0.4031,55301.14,0.9836,346.3,0.99858,0.5622
2023-01-08,Nonprofits,94,312.98,29420.3,0.9447,0.0553,0.0062,0.0077,0.0499,0.9751,0.0279,820.76,36.68,784.08,0.9553,0.39,0.233,0.0202,0.6213,16128.04,1.0611,190.0,0.997629,0.4205
2023-01-08,Pet Care,295,229.21,67616.11,0.9452,0.0548,0.0048,0.0069,0.0264,0.9763,0.0182,1228.64,100.77,1127.88,0.918,0.34,0.3892,0.0458,0.5696,43817.92,1.1102,352.9,0.996114,0.4406
2023-01-08,Education,381,232.56,88605.3,0.9738,0.0262,0.002,0.003,0.0202,0.9736,0.0263,2330.45,79.09,2251.36,0.9661,0.21,0.5199,0.0495,0.3104,52756.49,1.0651,374.6,0.995338,0.2848
2023-01-09,Camps,375,301.33,113000.28,0.9737,0.0263,0.0019,0.0044,0.0166,0.9412,0.0297,3358.92,101.13,3257.79,0.9699,0.27,0.2952,0.0214,0.5736,58058.61,1.0586,259.8,0.99886,0.5217
2023-01-09,Associations,370,166.44,61583.34,0.9476,0.0524,0.0074,0.0055,0.0239,0.9743,0.0243,1498.39,89.04,1409.35,0.9406,0.24,0.3474,0.017,0.3794,33840.68,0.9805,742.1,0.996776,0.5113
2023-01-09,Sports Leagues,229,112.13,25677.69,0.9249,0.0751,0.0046,0.0118,0.0284,0.9634,0.03,771.59,74.3,697.28,0.9037,0.32,0.2483,0.025,0.4395,13331.74,0.9824,663.9,0.996712,0.4607
2023-01-09,Nonprofits,384,56.15,21560.7,0.943,0.057,0.005,0.0027,0.041,0.9572,0.0253,546.38,114.82,431.56,0.7899,0.3,0.3283,0.038,0.3699,9801.03,1.0868,763.4,0.996829,0.3718
2023-01-09,Pet Care,241,169.66,40889.01,0.9118,0.0882,0.0021,0.0092,0.0364,0.9316,0.0211,863.07,58.42,804.65,0.9323,0.24,0.4286,0.011,0.3468,26167.93,0.9229,563.9,0.996167,0.2947
2023-01-09,Education,175,346.56,60648.4,0.9522,0.0478,0.0066,0.0116,0.0478,0.9385,0.0237,1436.73,46.81,1389.92,0.9674,0.27,0.2122,0.0417,0.6312,39690.64,0.9095,716.0,0.99815,0.5668
2023-01-10,Camps,382,235.55,89980.94,0.9335,0.0665,0.0068,0.0056,0.0114,0.9798,0.0228,2054.51,148.57,1905.93,0.9277,0.39,0.3142,0.0531,0.3988,62299.58,1.0671,197.7,0.997772,0.6934
2023-01-10,Associations,294,288.96,84953.02,0.9398,0.0602,0.0012,0.0047,0.0317,0.968,0.0216,1835.87,63.98,1771.89,0.9651,0.22,0.4889,0.0592,0.5366,38356.61,0.9454,132.5,0.99948,0.303
2023-01-10,Sports Leagues,120,128.59,15430.42,0.9488,0.0512,0.0056,0.0103,0.0183,0.9307,0.0199,307.32,50.76,256.56,0.8348,0.42,0.5033,0.0399,0.5702,9250.71,0.9221,741.8,0.997052,0.4224
2023-01-10,Nonprofits,201,173.72,34917.92,0.9348,0.0652,0.0077,0.0038,0.0136,0.9763,0.019,661.89,81.61,580.28,0.8767,0.41,0.3418,0.0558,0.6247,20361.39,1.1078,389.7,0.999675,0.3108
2023-01-10,Pet Care,391,110.56,43227.71,0.9122,0.0878,0.0028,0.008,0.0121,0.9598,0.0264,1139.3,105.67,1033.63,0.9073,0.27,0.4652,0.0153,0.3338,26734.47,0.9989,588.1,0.997131,0.3609
2023-01-10,Education,210,68.72,14430.87,0.9102,0.0898,0.0078,0.0021,0.0141,0.9489,0.0293,422.88,92.35,330.53,0.7816,0.44,0.4723,0.0445,0.5346,6147.72,1.11,635.7,0.998131,0.5916
2023-01-11,Camps,277,344.08,95309.03,0.9732,0.0268,0.0055,0.0089,0.0121,0.9702,0.0186,1774.49,93.86,1680.64,0.9471,0.34,0.5498,0.0378,0.5129,47068.98,0.9089,617.1,0.995944,0.3019
2023-01-11,Associations,394,333.0,131202.5,0.9432,0.0568,0.007,0.0104,0.0228,0.9797,0.0185,2429.62,134.35,2295.27,0.9447,0.34,0.2651,0.016,0.3346,79887.45,0.9616,612.8,0.99532,0.3919
2023-01-11,Sports Leagues,83,286.17,23752.16,0.9323,0.0677,0.0054,0.0109,0.0346,0.944,0.0183,435.65,34.44,401.21,0.9209,0.41,0.1879,0.0537,0.538,16192.33,1.0717,798.6,0.996718,0.5952
2023-01-11,Nonprofits,397,191.36,75970.74,0.9539,0.0461,0.0071,0.0118,0.0407,0.9551,0.0239,1815.62,150.52,1665.1,0.9171,0.38,0.2683,0.0155,0.4596,36934.82,0.9511,278.9,0.995206,0.258
2023-01-11,Pet Care,152,78.39,11914.92,0.9374,0.0626,0.0019,0.0116,0.0419,0.9455,0.0262,312.64,67.67,244.97,0.7835,0.45,0.5072,0.04,0.7067,8301.78,1.0584,164.2,0.996968,0.627
2023-01-11,Education,389,230.36,89609.93,0.9459,0.0541,0.0026,0.0038,0.0188,0.9412,0.0289,2591.0,106.79,2484.2,0.9588,0.27,0.2014,0.0585,0.6977,60784.72,1.1188,238.2,0.996942,0.5912
2023-01-12,Camps,141,348.88,49192.42,0.9728,0.0272,0.0042,0.0082,0.0399,0.9321,0.0305,1501.79,58.13,1443.67,0.9613,0.41,0.3492,0.0296,0.4228,26711.63,0.8907,699.5,0.995174,0.3981
2023-01-12,Associations,104,213.01,22153.2,0.9161,0.0839,0.0039,0.0057,0.0204,0.9734,0.0249,552.55,21.0,531.55,0.962,0.2,0.2615,0.0442,0.3343,14518.36,0.9988,446.8,0.997903,0.6211
2023-01-12,Sports Leagues,135,246.94,33337.46,0.9481,0.0519,0.0071,0.0093,0.0309,0.9821,0.0214,714.56,30.04,684.52,0.958,0.22,0.2393,0.0267,0.4074,22637.04,0.9054,595.3,0.995927,0.6467
2023-01-12,Nonprofits,124,310.91,38553.12,0.912,0.088,0.0068,0.0033,0.0234,0.9746,0.0203,780.73,49.71,731.02,0.9363,0.4,0.4879,0.0354,0.3029,18741.11,1.0281,787.2,0.998096,0.3669
2023-01-12,Pet Care,267,47.77,12753.81,0.9673,0.0327,0.0019,0.0048,0.0107,0.9559,0.0298,379.58,76.33,303.24,0.7989,0.29,0.2464,0.0477,0.655,5766.33,1.065,764.2,0.995815,0.5969
2023-01-12,Education,272,62.67,17045.08,0.9152,0.0848,0.007,0.0119,0.037,0.9568,0.0271,461.34,92.61,368.73,0.7993,0.34,0.3219,0.0133,0.6697,8719.41,1.0765,291.7,0.995005,0.3215
2023-01-13,Camps,305,349.12,106482.51,0.9398,0.0602,0.0042,0.0036,0.0418,0.9716,0.0211,2245.8,61.68,2184.11,0.9725,0.2,0.4318,0.0427,0.423,72968.1,0.9163,414.0,0.999624,0.4389
2023-01-13,Associations,163,166.27,27101.41,0.9292,0.0708,0.0079,0.0061,0.0458,0.9438,0.021,568.68,30.71,537.97,0.946,0.19,0.4211,0.0284,0.689,14687.96,1.1124,246.2,0.999256,0.5995
2023-01-13,Sports Leagues,158,183.38,28973.5,0.9471,0.0529,0.0011,0.01,0.0218,0.9847,0.0315,913.97,36.35,877.62,0.9602,0.23,0.351,0.0101,0.5692,16868.14,0.9394,499.7,0.996105,0.3224
2023-01-13,Nonprofits,293,222.5,65192.87,0.9288,0.0712,0.0066,0.0051,0.0282,0.9307,0.019,1239.59,83.79,1155.8,0.9324,0.29,0.3576,0.04,0.4312,39669.51,1.0864,650.3,0.995194,0.4662
2023-01-13,Pet Care,167,89.51,14947.54,0.9172,0.0828,0.005,0.0022,0.0293,0.9426,0.0228,341.47,65.04,276.42,0.8095,0.39,0.5283,0.0136,0.5404,9936.53,0.8998,680.7,0.996753,0.3949
2023-01-13,Education,245,218.1,53434.49,0.9583,0.0417,0.0066,0.004,0.0167,0.9363,0.0269,1437.92,90.83,1347.09,0.9368,0.37,0.1917,0.0568,0.3234,30050.96,1.0502,712.3,0.998499,0.6108
2023-01-14,Camps,397,231.74,92000.26,0.9439,0.0561,0.0056,0.0075,0.0339,0.977,0.0247,2275.41,75.83,2199.58,0.9667,0.19,0.2407,0.0319,0.6262,53174.64,1.0361,445.9,0.998017,0.3981
2023-01-14,Associations,317,147.75,46837.77,0.9227,0.0773,0.0065,0.0086,0.0299,0.9633,0.0281,1314.68,76.61,1238.07,0.9417,0.24,0.5486,0.0587,0.5926,21538.94,1.0433,169.1,0.99515,0.366
2023-01-14,Sports Leagues,384,309.82,118972.08,0.9609,0.0391,0.0062,0.0063,0.0238,0.9523,0.0318,3786.54,73.28,3713.26,0.9806,0.19,0.5008,0.0389,0.4974,73474.45,0.9968,713.9,0.999413,0.4398
2023-01-14,Nonprofits,322,225.67,72664.73,0.9739,0.0261,0.0025,0.0082,0.0353,0.974,0.0198,1441.81,120.19,1321.62,0.9166,0.37,0.5163,0.019,0.4069,50241.74,0.9234,701.0,0.997412,0.3613
2023-01-14,Pet Care,395,168.53,66569.88,0.9515,0.0485,0.0051,0.0086,0.0138,0.9691,0.0224,1489.17,113.66,1375.51,0.9237,0.29,0.4975,0.0105,0.5648,38584.85,0.9752,281.2,0.99615,0.6477
2023-01-14,Education,197,96.78,19064.9,0.9464,0.0536,0.0034,0.0103,0.0272,0.9449,0.0266,507.89,73.05,434.84,0.8562,0.37,0.2418,0.0184,0.3165,11837.79,1.0393,442.7,0.999136,0.6126
2023-01-15,Camps,235,308.59,72517.69,0.9491,0.0509,0.0048,0.0023,0.0495,0.9374,0.0212,1539.97,45.58,1494.39,0.9704,0.19,0.4168,0.0212,0.381,30933.63,0.9048,517.6,0.998372,0.4288
2023-01-15,Associations,321,339.36,108934.95,0.9103,0.0897,0.0077,0.0084,0.0447,0.9573,0.0252,2747.16,100.15,2647.01,0.9635,0.31,0.4267,0.017,0.3135,53637.28,1.0491,257.3,0.9983,0.6865
2023-01-15,Sports Leagues,208,267.9,55723.82,0.9209,0.0791,0.0026,0.0116,0.0202,0.9697,0.0317,1766.49,58.46,1708.03,0.9669,0.28,0.1865,0.0222,0.6739,36743.32,1.0644,196.9,0.998898,0.6634
2023-01-15,Nonprofits,80,110.78,8862.47,0.9561,0.0439,0.0038,0.0085,0.0143,0.9695,0.032,283.53,15.44,268.09,0.9455,0.19,0.5416,0.0303,0.6918,5625.15,1.0161,622.1,0.999305,0.4319
2023-01-15,Pet Care,211,248.62,52457.97,0.9665,0.0335,0.0063,0.01,0.0274,0.9791,0.0197,1032.53,69.0,963.53,0.9332,0.33,0.1821,0.0262,0.4649,27217.91,1.0469,384.2,0.997199,0.3569
2023-01-15,Education,370,114.32,42297.38,0.9151,0.0849,0.0052,0.0087,0.0348,0.9578,0.0233,986.25,152.85,833.4,0.845,0.41,0.3721,0.034,0.3115,21249.12,0.9712,391.2,0.997843,0.4901
2023-01-16,Camps,350,165.28,57848.5,0.9485,0.0515,0.0062,0.0092,0.0308,0.9793,0.024,1390.22,147.74,1242.48,0.8937,0.42,0.2064,0.0577,0.5946,29735.42,0.9273,445.8,0.995953,0.3248
2023-01-16,Associations,131,249.38,32668.69,0.9751,0.0249,0.0047,0.0078,0.0136,0.9731,0.0236,770.94,58.13,712.81,0.9246,0.44,0.4846,0.0361,0.3555,21490.27,1.0719,245.5,0.996447,0.607
2023-01-16,Sports Leagues,377,324.91,122492.77,0.9397,0.0603,0.0016,0.0102,0.0249,0.9616,0.0196,2397.46,68.12,2329.34,0.9716,0.18,0.4161,0.0358,0.5671,78165.47,1.0352,238.8,0.996768,0.6577
2023-01-16,Nonprofits,231,152.79,35295.3,0.9266,0.0734,0.0065,0.0047,0.0429,0.9554,0.0273,965.17,47.54,917.64,0.9507,0.21,0.4108,0.0326,0.564,15897.16,1.0568,706.7,0.996062,0.2931
2023-01-16,Pet Care,372,240.8,89578.09,0.9525,0.0475,0.0048,0.0043,0.0256,0.9657,0.025,2235.4,166.17,2069.22,0.9257,0.45,0.2305,0.0448,0.4819,47338.43,1.0522,590.9,0.999857,0.3078
2023-01-16,Education,98,228.98,22440.23,0.9336,0.0664,0.0073,0.0097,0.0206,0.9687,0.0263,591.09,28.26,562.83,0.9522,0.29,0.3158,0.0272,0.5777,11954.43,1.0796,575.3,0.995343,0.5381
2023-01-17,Camps,343,313.42,107504.47,0.9556,0.0444,0.0047,0.0052,0.0233,0.9702,0.0319,3431.32,123.03,3308.29,0.9641,0.36,0.3864,0.0465,0.5093,44941.46,1.015,771.2,0.995859,0.5605
2023-01-17,Associations,390,208.43,81286.7,0.9168,0.0832,0.0042,0.0096,0.0239,0.9699,0.0291,2368.39,167.83,2200.56,0.9291,0.43,0.2668,0.03,0.3686,56717.39,1.1025,487.2,0.999126,0.4844
2023-01-17,Sports Leagues,310,308.73,95706.08,0.9526,0.0474,0.0045,0.0036,0.0125,0.9371,0.0212,2027.34,84.4,1942.94,0.9584,0.27,0.3209,0.0273,0.4076,52917.54,1.0781,310.2,0.999618,0.643
2023-01-17,Nonprofits,341,325.41,110966.36,0.9448,0.0552,0.0079,0.0105,0.0183,0.9858,0.0196,2178.17,136.64,2041.53,0.9373,0.4,0.3208,0.0539,0.6906,71215.73,1.0696,327.2,0.995397,0.4313
2023-01-17,Pet Care,145,91.91,13326.41,0.9257,0.0743,0.0077,0.0077,0.0473,0.9645,0.0247,329.31,38.38,290.93,0.8834,0.26,0.4044,0.017,0.7042,8646.17,0.9562,767.9,0.999043,0.5498
2023-01-17,Education,104,115.93,12056.53,0.9156,0.0844,0.0064,0.0032,0.0338,0.9862,0.0303,364.9,26.52,338.38,0.9273,0.25,0.495,0.01,0.308,7002.02,0.9676,382.8,0.997766,0.3363
2023-01-18,Camps,209,192.8,40295.93,0.9628,0.0372,0.0053,0.005,0.0272,0.9402,0.019,767.43,81.79,685.64,0.8934,0.39,0.2782,0.0189,0.6112,23589.86,1.032,275.6,0.99614,0.3494
2023-01-18,Associations,300,235.29,70586.47,0.9469,0.0531,0.004,0.0033,0.0455,0.957,0.0207,1462.88,83.79,1379.1,0.9427,0.28,0.3332,0.0514,0.6301,44525.34,0.8826,403.0,0.997359,0.2586
2023-01-18,Sports Leagues,158,222.56,35163.72,0.9577,0.0423,0.0023,0.0082,0.0229,0.9801,0.0268,942.75,36.92,905.82,0.9608,0.23,0.2039,0.0121,0.4671,16869.98,1.0351,459.5,0.996303,0.3172
2023-01-18,Nonprofits,275,308.72,84898.39,0.927,0.073,0.0056,0.0101,0.0346,0.9816,0.0235,1994.56,120.5,1874.06,0.9396,0.44,0.2293,0.0151,0.5964,57972.81,1.0741,172.0,0.996369,0.6686
2023-01-18,Pet Care,311,185.75,57768.44,0.9546,0.0454,0.0056,0.011,0.0355,0.9668,0.0189,1093.74,99.51,994.23,0.909,0.32,0.2356,0.0469,0.5305,34896.09,0.89,177.7,0.99851,0.2824
2023-01-18,Education,231,55.85,12901.15,0.9456,0.0544,0.0037,0.0066,0.0497,0.9882,0.0312,402.42,90.47,311.95,0.7752,0.39,0.3113,0.0306,0.5473,8374.91,0.8965,408.5,0.995405,0.4816
2023-01-19,Camps,302,283.66,85664.69,0.9259,0.0741,0.0078,0.0087,0.0104,0.9453,0.0216,1854.64,60.01,1794.63,0.9676,0.2,0.5351,0.0339,0.7031,42546.62,0.9101,442.5,0.995558,0.4687
2023-01-19,Associations,239,273.16,65285.79,0.9668,0.0332,0.0056,0.0033,0.0235,0.9857,0.0211,1380.44,67.04,1313.41,0.9514,0.28,0.3399,0.032,0.5758,44585.15,0.9378,202.6,0.995968,0.6491
2023-01-19,Sports Leagues,201,293.86,59066.63,0.9703,0.0297,0.0069,0.0112,0.0201,0.9753,0.0244,1444.03,81.88,1362.16,0.9433,0.41,0.4495,0.0488,0.5953,26770.69,1.0108,789.6,0.999593,0.2694
2023-01-19,Nonprofits,337,85.18,28704.74,0.9608,0.0392,0.0067,0.0041,0.0302,0.9804,0.0283,811.17,110.0,701.18,0.8644,0.33,0.3984,0.0354,0.4339,16347.54,1.0453,713.9,0.998118,0.5925
2023-01-19,Pet Care,190,94.06,17871.15,0.9491,0.0509,0.0067,0.0094,0.0453,0.9467,0.0207,370.21,79.33,290.87,0.7857,0.42,0.4233,0.0255,0.6341,11518.59,1.0276,587.8,0.996839,0.4924
2023-01-19,Education,165,303.65,50103.01,0.9688,0.0312,0.0068,0.0021,0.04,0.9755,0.0275,1377.7,63.39,1314.31,0.954,0.38,0.4915,0.0335,0.5259,21915.77,0.9725,557.5,0.998824,0.3477
2023-01-20,Camps,233,164.42,38308.77,0.9389,0.0611,0.0059,0.002,0.0348,0.9513,0.0291,1115.5,47.79,1067.71,0.9572,0.21,0.3976,0.034,0.589,16068.85,1.0192,501.8,0.997747,0.5216
